SURVEY: DES   
SNID:   24960   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 
HOST_GALAXY_GALID:   11501 
HOST_GALAXY_PHOTO-Z:   0.4873  +- 0.0284  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 117 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56202.160  g NULL  -2.678e-01   4.791e+00  
OBS:  56202.176  r NULL   4.806e+00   2.325e+00  
OBS:  56202.191  i NULL   1.132e+00   4.163e+00  
OBS:  56202.215  z NULL   5.001e+00   2.713e+00  
OBS:  56210.172  g NULL   5.350e+00   3.696e+00  
OBS:  56210.188  r NULL   1.013e+01   3.223e+00  
OBS:  56210.203  i NULL   1.697e+01   3.226e+00  
OBS:  56210.234  z NULL   1.567e+01   3.857e+00  
OBS:  56218.172  g NULL   4.591e+00   1.264e+00  
OBS:  56218.191  r NULL   1.378e+01   1.002e+00  
OBS:  56218.211  i NULL   2.119e+01   1.560e+00  
OBS:  56219.156  z NULL   2.063e+01   1.973e+00  
OBS:  56221.273  g NULL   7.704e+00   3.917e+00  
OBS:  56221.281  r NULL   2.791e+00   5.586e+00  
OBS:  56221.297  i NULL   1.701e+01   4.499e+00  
OBS:  56221.324  z NULL   9.315e+00   1.440e+01  
OBS:  56222.074  g NULL   7.958e+00   5.912e+00  
OBS:  56222.090  r NULL   1.203e+01   2.639e+00  
OBS:  56222.113  i NULL   2.021e+01   3.349e+00  
OBS:  56222.133  z NULL   2.109e+01   5.072e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56228.059  g NULL   3.445e-01   7.693e+00  
OBS:  56228.066  r NULL   4.855e+00   2.394e+00  
OBS:  56228.086  i NULL   1.051e+01   5.114e+00  
OBS:  56228.109  z NULL   2.143e+01   4.154e+00  
OBS:  56229.047  g NULL   7.804e+00   2.392e+01  
OBS:  56229.059  r NULL   6.700e+00   3.853e+00  
OBS:  56229.074  i NULL   2.882e+01   5.452e+00  
OBS:  56229.102  z NULL   1.833e+01   4.861e+00  
OBS:  56230.059  g NULL  -2.303e+00   6.571e+00  
OBS:  56230.102  r NULL   6.846e+00   2.920e+00  
OBS:  56230.113  i NULL   9.752e-01   5.176e+00  
OBS:  56230.145  z NULL   1.802e+01   2.687e+00  
OBS:  56231.043  g NULL   1.188e+00   6.045e+00  
OBS:  56231.059  r NULL   1.150e+00   2.552e+00  
OBS:  56231.070  i NULL   2.291e+00   4.242e+00  
OBS:  56231.102  z NULL   1.123e+01   3.286e+00  
OBS:  56235.039  g NULL  -6.903e-02   5.184e+00  
OBS:  56235.047  r NULL  -5.688e-01   3.707e+00  
OBS:  56235.062  i NULL   3.737e+00   4.194e+00  
OBS:  56235.090  z NULL   1.758e+01   8.239e+00  
OBS:  56236.047  g NULL   3.631e+00   4.873e+00  
OBS:  56236.062  r NULL   6.946e+00   2.664e+00  
OBS:  56236.074  i NULL   1.331e+01   5.229e+00  
OBS:  56236.105  z NULL   5.727e+00   5.321e+00  
OBS:  56237.039  g NULL   2.876e+00   3.164e+00  
OBS:  56237.051  r NULL   2.512e+00   2.213e+00  
OBS:  56237.094  i NULL   7.587e+00   2.497e+00  
OBS:  56237.125  z NULL   1.758e+01   3.711e+00  
OBS:  56238.074  g NULL   8.854e-01   2.522e+00  
OBS:  56238.094  r NULL   6.483e+00   1.594e+00  
OBS:  56238.109  i NULL   7.411e+00   2.727e+00  
OBS:  56238.129  z NULL   1.171e+01   3.114e+00  
OBS:  56243.098  g NULL  -1.841e+00   2.168e+00  
OBS:  56243.109  r NULL   1.267e+00   1.655e+00  
OBS:  56243.125  i NULL   1.029e+01   2.573e+00  
OBS:  56243.152  z NULL   8.298e+00   2.555e+00  
OBS:  56244.082  g NULL  -2.279e+00   2.191e+00  
OBS:  56244.098  r NULL   5.760e+00   1.639e+00  
OBS:  56244.109  i NULL   5.512e+00   2.592e+00  
OBS:  56244.133  z NULL   6.076e+00   2.985e+00  
OBS:  56245.070  g NULL  -6.896e-01   1.718e+00  
OBS:  56245.082  r NULL   2.320e+00   1.354e+00  
OBS:  56245.109  i NULL   8.116e+00   3.216e+00  
OBS:  56245.137  z NULL   4.581e+00   2.838e+00  
OBS:  56246.117  g NULL   1.310e+01   6.566e+00  
OBS:  56246.125  r NULL   4.519e+00   2.812e+00  
OBS:  56246.152  i NULL   5.187e+00   1.963e+00  
OBS:  56246.180  z NULL   5.662e+00   1.937e+00  
OBS:  56247.281  g NULL  -1.029e+00   1.489e+00  
OBS:  56247.297  r NULL   3.316e+00   1.135e+00  
OBS:  56247.316  i NULL   4.689e+00   1.978e+00  
OBS:  56247.340  z NULL   9.547e+00   2.497e+00  
OBS:  56248.324  g NULL  -1.659e+00   1.702e+00  
OBS:  56248.340  r NULL   9.191e-01   1.337e+00  
OBS:  56258.035  i NULL  -1.713e+01   9.890e+00  
OBS:  56258.066  z NULL   9.542e+00   3.972e+00  
OBS:  56258.215  g NULL   3.360e+00   4.948e+00  
OBS:  56258.227  r NULL   3.047e+00   2.382e+00  
OBS:  56261.098  g NULL   3.057e+00   8.828e+00  
OBS:  56261.102  r NULL  -3.732e+00   3.396e+00  
OBS:  56261.125  i NULL   3.262e+00   3.854e+00  
OBS:  56261.156  z NULL   8.195e+00   3.090e+00  
OBS:  56273.160  g NULL  -8.067e-02   1.752e+00  
OBS:  56273.176  r NULL  -5.071e-01   1.214e+00  
OBS:  56273.188  i NULL   3.770e+00   2.026e+00  
OBS:  56273.219  z NULL   2.622e+00   2.252e+00  
OBS:  56281.160  g NULL   2.153e+00   2.074e+00  
OBS:  56281.184  r NULL  -4.509e-01   1.274e+00  
OBS:  56281.203  i NULL   3.808e+00   1.801e+00  
OBS:  56281.227  z NULL   2.756e+00   2.291e+00  
OBS:  56288.086  g NULL   2.514e+00   4.849e+00  
OBS:  56288.094  r NULL   1.844e+00   2.114e+00  
OBS:  56288.109  i NULL   1.231e+00   3.059e+00  
OBS:  56288.141  z NULL   8.735e-01   2.584e+00  
OBS:  56289.227  g NULL   7.451e+00   6.492e+00  
OBS:  56289.242  r NULL   4.216e-01   2.701e+00  
OBS:  56289.258  i NULL   3.838e+00   5.085e+00  
OBS:  56292.035  z NULL   3.918e+00   2.063e+00  
OBS:  56292.141  g NULL  -2.195e+00   3.054e+00  
OBS:  56292.156  r NULL   2.238e+00   1.736e+00  
OBS:  56292.172  i NULL   2.764e+00   2.654e+00  
OBS:  56303.039  g NULL  -1.422e+00   1.371e+00  
OBS:  56303.051  r NULL   1.760e+00   9.006e-01  
OBS:  56303.070  i NULL  -1.532e-01   1.414e+00  
OBS:  56303.094  z NULL  -4.287e-01   2.209e+00  
OBS:  56311.043  g NULL   2.504e+00   2.670e+00  
OBS:  56311.055  r NULL   9.320e-01   1.496e+00  
OBS:  56311.074  i NULL  -1.430e+00   2.388e+00  
OBS:  56311.098  z NULL   1.210e+00   2.435e+00  
OBS:  56317.125  g NULL   4.027e+00   4.217e+00  
OBS:  56317.141  r NULL  -8.467e-01   1.860e+00  
OBS:  56318.109  i NULL   3.347e+00   2.781e+00  
OBS:  56318.141  z NULL   5.191e+00   2.977e+00  
OBS:  56321.090  g NULL  -4.113e-01   6.627e+00  
OBS:  56321.098  r NULL  -4.562e+00   2.888e+00  
OBS:  56321.109  i NULL  -4.172e-01   3.402e+00  
OBS:  56321.141  z NULL   1.943e+00   2.958e+00  
END: 
