SURVEY: DES   
SNID:   49886   
IAUC:    UNKNOWN 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:     0.6144 +-  0.0050  
 
HOST_GALAXY_GALID:   17697 
HOST_GALAXY_PHOTO-Z:   0.6673  +- 0.0561  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56216.164  g NULL   6.198e-01   2.686e+00  
OBS:  56216.176  r NULL   1.111e+00   2.036e+00  
OBS:  56216.191  z NULL  -6.365e+00   4.047e+00  
OBS:  56219.211  i NULL  -2.947e+00   2.988e+00  
OBS:  56221.148  g NULL  -5.158e+00   1.591e+01  
OBS:  56221.160  r NULL  -3.117e+00   6.049e+00  
OBS:  56221.176  z NULL  -1.363e+01   1.540e+01  
OBS:  56222.105  i NULL   1.224e+01   9.194e+00  
OBS:  56222.312  g NULL   1.873e+00   4.102e+00  
OBS:  56222.324  r NULL   3.068e+01   1.518e+01  
OBS:  56222.340  z NULL  -1.609e+01   4.086e+01  
OBS:  56228.297  g NULL   1.317e+01   1.503e+01  
OBS:  56228.305  r NULL   4.943e+00   5.498e+00  
OBS:  56228.312  i NULL   2.181e+01   9.423e+00  
OBS:  56228.320  z NULL   1.705e+01   5.811e+00  
OBS:  56229.320  g NULL   1.285e+01   1.406e+01  
OBS:  56229.332  r NULL   2.301e+00   7.256e+00  
OBS:  56229.348  i NULL   7.367e-01   1.295e+01  
OBS:  56230.070  z NULL   2.683e+01   7.153e+00  
OBS:  56230.316  g NULL  -1.376e+01   1.368e+01  
OBS:  56230.328  r NULL   2.744e+00   6.678e+00  
OBS:  56230.344  i NULL   2.101e+01   1.240e+01  
OBS:  56231.301  g NULL   5.462e+00   1.166e+01  
OBS:  56231.316  r NULL   1.962e+01   6.037e+00  
OBS:  56231.328  i NULL   2.954e+01   1.049e+01  
OBS:  56231.344  z NULL   2.718e+01   5.816e+00  
OBS:  56235.297  g NULL   3.936e+00   9.645e+00  
OBS:  56235.312  r NULL   2.041e+01   4.691e+00  
OBS:  56235.324  i NULL   2.887e+01   6.673e+00  
OBS:  56235.340  z NULL   3.218e+01   6.780e+00  
OBS:  56236.312  g NULL  -3.244e+00   7.821e+00  
OBS:  56236.324  r NULL   3.384e+01   3.800e+00  
OBS:  56236.340  i NULL   3.045e+01   6.119e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56237.074  z NULL   3.702e+01   7.049e+00  
OBS:  56237.340  g NULL  -1.336e-01   1.183e+01  
OBS:  56238.051  r NULL   3.134e+01   4.369e+00  
OBS:  56238.059  i NULL   4.373e+01   5.542e+00  
OBS:  56238.340  g NULL   5.294e+00   1.064e+01  
OBS:  56243.047  z NULL   5.309e+01   8.390e+00  
OBS:  56243.320  g NULL   7.653e+00   4.223e+00  
OBS:  56243.336  r NULL   3.482e+01   3.388e+00  
OBS:  56244.039  i NULL   4.873e+01   7.104e+00  
OBS:  56244.309  g NULL   1.440e+01   4.152e+00  
OBS:  56244.320  r NULL   3.646e+01   3.321e+00  
OBS:  56245.047  z NULL   4.523e+01   5.089e+00  
OBS:  56245.320  g NULL   4.963e+00   4.258e+00  
OBS:  56246.055  r NULL   3.236e+01   2.493e+00  
OBS:  56246.070  i NULL   5.008e+01   4.018e+00  
OBS:  56247.223  g NULL   6.104e+00   3.007e+00  
OBS:  56247.230  z NULL   4.848e+01   4.487e+00  
OBS:  56248.305  r NULL   3.351e+01   2.488e+00  
OBS:  56248.316  i NULL   4.531e+01   4.331e+00  
OBS:  56258.152  g NULL   4.448e+00   1.264e+01  
OBS:  56258.168  z NULL   3.405e+01   6.021e+00  
OBS:  56258.273  r NULL   2.668e+01   7.799e+00  
OBS:  56258.281  i NULL   2.249e+01   1.263e+01  
OBS:  56261.266  g NULL  -1.004e+01   1.009e+01  
OBS:  56261.273  r NULL   1.439e+01   4.201e+00  
OBS:  56261.281  i NULL   2.011e+01   7.046e+00  
OBS:  56261.289  z NULL   3.310e+01   4.936e+00  
OBS:  56275.152  g NULL   9.772e-01   3.311e+00  
OBS:  56275.172  r NULL   8.694e+00   2.250e+00  
OBS:  56275.191  i NULL   7.586e+00   4.499e+00  
OBS:  56275.203  z NULL   2.401e+01   5.347e+00  
OBS:  56283.203  g NULL   4.527e+00   6.286e+00  
OBS:  56283.211  r NULL  -6.822e+00   3.330e+00  
OBS:  56283.215  i NULL   8.690e+00   5.821e+00  
OBS:  56283.223  z NULL   2.531e+01   5.068e+00  
OBS:  56288.199  g NULL   7.312e+00   1.179e+01  
OBS:  56288.215  r NULL  -9.498e-01   6.181e+00  
OBS:  56289.109  i NULL   6.842e+00   7.082e+00  
OBS:  56289.125  z NULL   1.281e+01   5.430e+00  
OBS:  56292.098  g NULL  -1.393e+01   1.165e+01  
OBS:  56292.102  r NULL   3.478e+00   4.829e+00  
OBS:  56292.191  i NULL   5.470e+00   5.602e+00  
OBS:  56292.199  z NULL   8.077e+00   5.162e+00  
OBS:  56304.051  g NULL   1.467e+00   2.483e+00  
OBS:  56304.055  r NULL   3.009e+00   1.661e+00  
OBS:  56304.070  i NULL   7.870e+00   2.513e+00  
OBS:  56304.086  z NULL   7.583e+00   3.938e+00  
OBS:  56312.055  g NULL   1.030e+01   7.571e+00  
OBS:  56312.066  r NULL   4.999e+00   2.965e+00  
OBS:  56312.090  i NULL  -1.002e+01   5.025e+00  
OBS:  56312.113  z NULL   1.184e+01   5.434e+00  
OBS:  56320.043  g NULL   7.418e+00   6.170e+00  
OBS:  56320.051  r NULL   1.394e+00   2.490e+00  
OBS:  56320.059  i NULL   5.782e+00   3.656e+00  
OBS:  56320.070  z NULL   4.966e+00   4.396e+00  
OBS:  56328.047  g NULL   3.550e+00   3.354e+00  
OBS:  56328.055  r NULL   9.006e-01   2.404e+00  
OBS:  56328.070  i NULL   1.266e+00   4.046e+00  
OBS:  56328.086  z NULL   6.805e+00   6.783e+00  
OBS:  56336.062  g NULL  -2.558e+00   3.702e+00  
OBS:  56336.082  r NULL   2.537e-01   3.008e+00  
OBS:  56337.062  i NULL  -2.485e+00   2.928e+00  
OBS:  56337.078  z NULL   2.590e+00   3.747e+00  
OBS:  56345.039  g NULL  -2.118e+00   7.140e+00  
OBS:  56345.055  r NULL  -5.498e-01   3.771e+00  
OBS:  56346.055  i NULL  -4.610e+00   5.987e+00  
OBS:  56348.027  z NULL   1.191e+00   5.019e+00  
OBS:  56350.023  g NULL  -5.325e+00   6.831e+00  
OBS:  56350.027  r NULL   4.810e+00   3.937e+00  
OBS:  56350.035  i NULL  -1.965e+00   6.682e+00  
OBS:  56351.023  z NULL   9.149e+00   6.099e+00  
END: 
