SURVEY: DES   
SNID:   75128   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 
HOST_GALAXY_GALID:   13577 
HOST_GALAXY_PHOTO-Z:   0.9688  +- 0.0550  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56208.160  g NULL  -9.000e+00  -9.000e+00  
OBS:  56208.176  r NULL  -4.369e-01   2.428e+00  
OBS:  56208.191  z NULL   6.800e+00   4.940e+00  
OBS:  56210.156  i NULL   7.274e-01   7.025e+00  
OBS:  56216.164  g NULL  -9.000e+00  -9.000e+00  
OBS:  56216.176  r NULL   1.169e+00   2.037e+00  
OBS:  56216.191  z NULL   6.929e+00   4.048e+00  
OBS:  56219.211  i NULL   7.902e+00   2.996e+00  
OBS:  56221.148  g NULL  -9.000e+00  -9.000e+00  
OBS:  56221.160  r NULL   4.412e+00   6.051e+00  
OBS:  56221.176  z NULL   2.549e+01   1.540e+01  
OBS:  56222.105  i NULL  -2.454e+00   9.194e+00  
OBS:  56222.312  g NULL  -9.000e+00  -9.000e+00  
OBS:  56222.324  r NULL  -1.988e+01   1.517e+01  
OBS:  56222.340  z NULL   4.437e+01   4.087e+01  
OBS:  56228.297  g NULL  -9.000e+00  -9.000e+00  
OBS:  56228.305  r NULL   1.070e+01   5.500e+00  
OBS:  56228.312  i NULL   2.382e+01   9.426e+00  
OBS:  56228.320  z NULL   9.297e+00   5.806e+00  
OBS:  56229.320  g NULL  -9.000e+00  -9.000e+00  
OBS:  56229.332  r NULL   1.350e+00   7.255e+00  
OBS:  56229.348  i NULL   1.526e+01   1.295e+01  
OBS:  56230.070  z NULL   3.413e+01   7.165e+00  
OBS:  56230.316  g NULL  -9.000e+00  -9.000e+00  
OBS:  56230.328  r NULL   1.083e+01   6.679e+00  
OBS:  56230.344  i NULL   2.404e+01   1.240e+01  
OBS:  56231.301  g NULL  -9.000e+00  -9.000e+00  
OBS:  56231.316  r NULL   1.529e+01   6.029e+00  
OBS:  56231.328  i NULL   2.647e+01   1.048e+01  
OBS:  56231.344  z NULL   1.959e+01   5.805e+00  
OBS:  56235.297  g NULL  -9.000e+00  -9.000e+00  
OBS:  56235.312  r NULL   1.039e+01   4.669e+00  
OBS:  56235.324  i NULL   1.783e+01   6.656e+00  
OBS:  56235.340  z NULL   2.842e+01   6.774e+00  
OBS:  56236.312  g NULL  -9.000e+00  -9.000e+00  
OBS:  56236.324  r NULL   1.295e+01   3.743e+00  
OBS:  56236.340  i NULL   2.780e+01   6.109e+00  
OBS:  56237.074  z NULL   2.902e+01   7.035e+00  
OBS:  56237.340  g NULL  -9.000e+00  -9.000e+00  
OBS:  56238.051  r NULL   7.885e+00   4.319e+00  
OBS:  56238.059  i NULL   2.132e+01   5.489e+00  
OBS:  56238.340  g NULL  -9.000e+00  -9.000e+00  
OBS:  56243.047  z NULL   2.409e+01   8.342e+00  
OBS:  56243.320  g NULL  -9.000e+00  -9.000e+00  
OBS:  56243.336  r NULL   2.684e+00   3.304e+00  
OBS:  56244.039  i NULL   2.895e+01   7.059e+00  
OBS:  56244.309  g NULL  -9.000e+00  -9.000e+00  
OBS:  56244.320  r NULL   1.006e+01   3.235e+00  
OBS:  56245.047  z NULL   1.834e+01   5.027e+00  
OBS:  56245.320  g NULL  -9.000e+00  -9.000e+00  
OBS:  56246.055  r NULL   7.351e+00   2.393e+00  
OBS:  56246.070  i NULL   2.738e+01   3.928e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56247.223  g NULL  -9.000e+00  -9.000e+00  
OBS:  56247.230  z NULL   2.331e+01   4.412e+00  
OBS:  56248.305  r NULL   9.089e+00   2.385e+00  
OBS:  56248.316  i NULL   1.384e+01   4.244e+00  
OBS:  56258.152  g NULL  -9.000e+00  -9.000e+00  
OBS:  56258.168  z NULL   3.283e+01   6.017e+00  
OBS:  56258.273  r NULL   7.112e+00   7.780e+00  
OBS:  56258.281  i NULL   1.249e+01   1.263e+01  
OBS:  56261.266  g NULL  -9.000e+00  -9.000e+00  
OBS:  56261.273  r NULL   1.706e+00   4.186e+00  
OBS:  56261.281  i NULL   1.910e+01   7.041e+00  
OBS:  56261.289  z NULL   1.804e+01   4.906e+00  
OBS:  56275.152  g NULL  -9.000e+00  -9.000e+00  
OBS:  56275.172  r NULL  -1.020e+00   2.240e+00  
OBS:  56275.191  i NULL  -4.934e-01   4.494e+00  
OBS:  56275.203  z NULL   1.435e+01   5.333e+00  
OBS:  56283.203  g NULL  -9.000e+00  -9.000e+00  
OBS:  56283.211  r NULL  -1.402e+00   3.326e+00  
OBS:  56283.215  i NULL   3.766e+00   5.818e+00  
OBS:  56283.223  z NULL   1.508e+01   5.052e+00  
OBS:  56288.199  g NULL  -9.000e+00  -9.000e+00  
OBS:  56288.215  r NULL  -1.020e+01   6.183e+00  
OBS:  56289.109  i NULL   1.099e+01   7.083e+00  
OBS:  56289.125  z NULL  -2.627e-01   5.423e+00  
OBS:  56292.098  g NULL  -9.000e+00  -9.000e+00  
OBS:  56292.102  r NULL  -1.833e+00   4.827e+00  
OBS:  56292.191  i NULL  -5.267e-01   5.600e+00  
OBS:  56292.199  z NULL   3.233e+00   5.159e+00  
OBS:  56304.051  g NULL  -9.000e+00  -9.000e+00  
OBS:  56304.055  r NULL   1.925e+00   1.657e+00  
OBS:  56304.070  i NULL  -4.138e+00   2.508e+00  
OBS:  56304.086  z NULL  -3.839e+00   3.935e+00  
OBS:  56312.055  g NULL  -9.000e+00  -9.000e+00  
OBS:  56312.066  r NULL   2.396e+00   2.962e+00  
OBS:  56312.090  i NULL   5.771e+00   5.022e+00  
