SURVEY: DES   
SNID:   94172   
IAUC:    UNKNOWN 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_SPEC:     0.2712 +-  0.0050  
 
HOST_GALAXY_GALID:   13982 
HOST_GALAXY_PHOTO-Z:   0.2601  +- 0.0381  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 24 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56261.066  g NULL  -2.347e+00   6.915e+00  
OBS:  56261.082  r NULL   5.377e-02   4.056e+00  
OBS:  56261.090  i NULL   2.892e+00   8.211e+00  
OBS:  56266.156  z NULL   5.534e+00   5.285e+00  
OBS:  56276.152  g NULL   7.013e+01   4.388e+00  
OBS:  56276.172  r NULL   1.054e+02   3.562e+00  
OBS:  56277.164  i NULL   1.391e+02   4.449e+00  
OBS:  56278.164  z NULL   1.253e+02   4.899e+00  
OBS:  56288.035  g NULL   7.254e+01   1.462e+01  
OBS:  56288.043  r NULL   1.339e+02   6.003e+00  
OBS:  56288.051  i NULL   1.547e+02   6.671e+00  
OBS:  56288.066  z NULL   1.042e+02   7.018e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56292.109  g NULL   4.974e+01   7.914e+00  
OBS:  56292.125  r NULL   1.251e+02   4.608e+00  
OBS:  56296.039  i NULL   1.021e+02   4.018e+00  
OBS:  56296.051  z NULL   7.207e+01   4.672e+00  
OBS:  56305.043  g NULL   1.227e+01   2.918e+00  
OBS:  56305.051  r NULL   5.460e+01   2.454e+00  
OBS:  56305.055  i NULL   7.978e+01   3.444e+00  
OBS:  56305.070  z NULL   5.138e+01   3.802e+00  
OBS:  56317.035  g NULL   2.440e+01   1.480e+01  
OBS:  56317.043  r NULL   1.427e+01   6.199e+00  
OBS:  56317.051  i NULL   5.159e+01   6.990e+00  
OBS:  56318.035  z NULL   4.681e+01   1.349e+01  
END: 
