SURVEY: DES   
SNID:   43259   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 
HOST_GALAXY_GALID:   14335 
HOST_GALAXY_PHOTO-Z:   0.6014  +- 0.0257  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 87 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56178.234  g NULL   4.327e+00   1.049e+01  
OBS:  56178.250  r NULL   3.459e+01   7.883e+00  
OBS:  56178.266  i NULL   5.834e+01   9.388e+00  
OBS:  56179.211  z NULL   5.391e+01   5.432e+00  
OBS:  56180.219  g NULL   1.091e+01   3.228e+00  
OBS:  56180.234  r NULL   4.345e+01   2.593e+00  
OBS:  56180.250  i NULL   5.745e+01   4.468e+00  
OBS:  56188.191  z NULL   1.325e+02   2.744e+01  
OBS:  56188.340  g NULL  -5.080e+00   2.559e+01  
OBS:  56188.355  r NULL   1.928e+01   4.190e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL  -1.886e+01   3.097e+01  
OBS:  56194.215  g NULL   4.474e+00   4.771e+00  
OBS:  56194.223  r NULL   1.775e+01   5.427e+00  
OBS:  56194.227  z NULL   4.983e+01   6.615e+00  
OBS:  56200.234  i NULL   7.902e+00   1.199e+01  
OBS:  56208.160  g NULL  -2.420e+00   2.975e+00  
OBS:  56208.176  r NULL   5.585e+00   2.436e+00  
OBS:  56208.191  z NULL   3.784e+01   4.993e+00  
OBS:  56210.156  i NULL   4.262e+00   7.029e+00  
OBS:  56216.164  g NULL  -6.493e+00   2.691e+00  
OBS:  56216.176  r NULL   5.189e+00   2.042e+00  
OBS:  56216.191  z NULL   2.294e+01   4.073e+00  
OBS:  56219.211  i NULL   1.115e+01   3.000e+00  
OBS:  56221.148  g NULL  -1.291e+01   1.592e+01  
OBS:  56221.160  r NULL   7.939e+00   6.052e+00  
OBS:  56221.176  z NULL  -7.013e+00   1.540e+01  
OBS:  56222.105  i NULL   2.411e+00   9.193e+00  
OBS:  56222.312  g NULL   2.649e+00   4.102e+00  
OBS:  56222.324  r NULL  -1.377e+01   1.517e+01  
OBS:  56222.340  z NULL   7.197e+01   4.088e+01  
OBS:  56228.297  g NULL  -9.365e+00   1.503e+01  
OBS:  56228.305  r NULL   9.411e+00   5.496e+00  
OBS:  56228.312  i NULL  -2.680e+00   9.413e+00  
OBS:  56228.320  z NULL   1.053e+01   5.806e+00  
OBS:  56229.320  g NULL   8.655e-01   1.405e+01  
OBS:  56229.332  r NULL   1.235e+01   7.256e+00  
OBS:  56229.348  i NULL   1.693e+01   1.295e+01  
OBS:  56230.070  z NULL   8.567e+00   7.137e+00  
OBS:  56230.316  g NULL   4.498e+00   1.368e+01  
OBS:  56230.328  r NULL   1.051e+01   6.676e+00  
OBS:  56230.344  i NULL   1.394e+01   1.239e+01  
OBS:  56231.301  g NULL  -2.159e+01   1.166e+01  
OBS:  56231.316  r NULL   2.872e+00   6.019e+00  
OBS:  56231.328  i NULL   1.317e+01   1.047e+01  
OBS:  56231.344  z NULL   1.144e+01   5.796e+00  
OBS:  56235.297  g NULL  -1.497e+01   9.641e+00  
OBS:  56235.312  r NULL   9.924e-01   4.661e+00  
OBS:  56235.324  i NULL   4.948e+00   6.643e+00  
OBS:  56235.340  z NULL   8.464e+00   6.753e+00  
OBS:  56236.312  g NULL   1.043e+01   7.812e+00  
OBS:  56236.324  r NULL   6.535e-01   3.730e+00  
OBS:  56236.340  i NULL   8.837e+00   6.084e+00  
OBS:  56237.074  z NULL   2.014e+01   7.022e+00  
OBS:  56237.340  g NULL   6.657e+00   1.182e+01  
OBS:  56238.051  r NULL   3.564e+00   4.312e+00  
OBS:  56238.059  i NULL   3.026e+00   5.468e+00  
OBS:  56238.340  g NULL  -1.944e-01   1.062e+01  
OBS:  56243.047  z NULL   2.071e+01   8.337e+00  
OBS:  56243.320  g NULL   2.177e+00   4.201e+00  
OBS:  56243.336  r NULL  -8.285e+00   3.303e+00  
OBS:  56244.039  i NULL   5.843e-01   7.034e+00  
OBS:  56244.309  g NULL  -1.547e+00   4.124e+00  
OBS:  56244.320  r NULL   3.341e+00   3.226e+00  
OBS:  56245.047  z NULL   9.674e+00   5.015e+00  
OBS:  56245.320  g NULL   5.790e+00   4.231e+00  
OBS:  56246.055  r NULL   8.591e-01   2.385e+00  
OBS:  56246.070  i NULL   2.284e+00   3.886e+00  
OBS:  56247.223  g NULL   3.904e+00   2.981e+00  
OBS:  56247.230  z NULL   1.650e+01   4.398e+00  
OBS:  56248.305  r NULL   1.919e+00   2.375e+00  
OBS:  56248.316  i NULL   9.754e+00   4.233e+00  
OBS:  56258.152  g NULL  -1.321e+01   1.264e+01  
OBS:  56258.168  z NULL   1.259e+01   5.989e+00  
OBS:  56258.273  r NULL   5.291e+00   7.779e+00  
OBS:  56258.281  i NULL   4.726e+00   1.262e+01  
OBS:  56261.266  g NULL  -9.151e+00   1.009e+01  
OBS:  56261.273  r NULL   5.481e+00   4.186e+00  
OBS:  56261.281  i NULL   2.112e+00   7.030e+00  
OBS:  56261.289  z NULL   1.240e+01   4.899e+00  
OBS:  56275.152  g NULL   4.185e+00   3.311e+00  
OBS:  56275.172  r NULL  -9.926e-01   2.241e+00  
OBS:  56275.191  i NULL   1.074e+01   4.498e+00  
OBS:  56275.203  z NULL   1.010e+01   5.330e+00  
OBS:  56283.203  g NULL  -3.475e+00   6.285e+00  
OBS:  56283.211  r NULL   4.410e+00   3.328e+00  
OBS:  56283.215  i NULL   1.306e+00   5.818e+00  
OBS:  56283.223  z NULL   1.365e+01   5.051e+00  
END: 
