SURVEY: DES   
SNID:   72099   
IAUC:    UNKNOWN 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:     0.5527 +-  0.0050  
 
HOST_GALAXY_GALID:   18518 
HOST_GALAXY_PHOTO-Z:   0.5693  +- 0.0289  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 100 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56188.191  z NULL  -5.686e+01   2.734e+01  
OBS:  56188.340  g NULL   3.710e+00   2.557e+01  
OBS:  56188.355  r NULL  -3.309e+00   4.153e+00  
OBS:  56189.195  i NULL   3.009e+01   3.096e+01  
OBS:  56194.215  g NULL  -1.836e+00   4.769e+00  
OBS:  56194.223  r NULL   1.507e+01   5.417e+00  
OBS:  56194.227  z NULL   4.311e+00   6.544e+00  
OBS:  56200.234  i NULL   1.170e+01   1.199e+01  
OBS:  56208.160  g NULL   1.684e+01   3.040e+00  
OBS:  56208.176  r NULL   5.430e+01   2.681e+00  
OBS:  56208.191  z NULL   6.260e+01   5.084e+00  
OBS:  56210.156  i NULL   6.757e+01   7.156e+00  
OBS:  56216.164  g NULL   1.574e+01   2.749e+00  
OBS:  56216.176  r NULL   6.072e+01   2.387e+00  
OBS:  56216.191  z NULL   6.840e+01   4.256e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56219.211  i NULL   7.390e+01   3.335e+00  
OBS:  56221.148  g NULL   1.229e+01   1.593e+01  
OBS:  56221.160  r NULL   6.962e+01   6.231e+00  
OBS:  56221.176  z NULL   8.958e+01   1.550e+01  
OBS:  56222.105  i NULL   7.201e+01   9.311e+00  
OBS:  56222.312  g NULL   5.539e+00   4.128e+00  
OBS:  56222.324  r NULL   5.526e+01   1.525e+01  
OBS:  56222.340  z NULL   1.417e+02   4.095e+01  
OBS:  56228.297  g NULL   2.219e+01   1.504e+01  
OBS:  56228.305  r NULL   5.206e+01   5.596e+00  
OBS:  56228.312  i NULL   6.111e+01   9.494e+00  
OBS:  56228.320  z NULL   6.327e+01   5.928e+00  
