SURVEY: DES   
SNID:   79897   
IAUC:    UNKNOWN 
SNTYPE:  22 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_SPEC:     0.4505 +-  0.0050  
 
HOST_GALAXY_GALID:   10972 
HOST_GALAXY_PHOTO-Z:   0.4511  +- 0.0205  




# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 19 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56313.047  g NULL   1.301e+01   5.970e+00  
OBS:  56313.055  r NULL   4.657e+00   2.527e+00  
OBS:  56313.090  i NULL   1.266e+01   3.090e+00  
OBS:  56317.066  z NULL   8.979e+00   4.253e+00  
OBS:  56321.035  g NULL   3.560e+01   3.026e+00  
OBS:  56321.043  r NULL   2.964e+01   1.488e+00  
OBS:  56321.066  i NULL   2.324e+01   3.255e+00  
OBS:  56326.039  z NULL   3.637e+01   2.697e+00  
OBS:  56333.043  g NULL   3.268e+01   1.975e+00  
OBS:  56333.051  r NULL   4.225e+01   1.611e+00  
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56334.043  i NULL   3.779e+01   2.300e+00  
OBS:  56335.043  z NULL   4.131e+01   3.470e+00  
OBS:  56344.992  g NULL   6.782e+00   4.336e+00  
OBS:  56345.000  r NULL   3.065e+01   1.959e+00  
OBS:  56345.016  i NULL   3.709e+01   3.526e+00  
OBS:  56345.992  z NULL   3.763e+01   3.768e+00  
OBS:  56349.996  g NULL   1.422e+01   3.977e+00  
OBS:  56350.004  r NULL   2.808e+01   2.133e+00  
OBS:  56350.996  i NULL   3.595e+01   3.102e+00  
END: 
